Term / kata,business,entertainment,politics
mayb,1,2,0
driven,1,2,0
agricultur,1,2,0
amend,1,2,0
enforc,1,2,0
friendli,1,2,0
singl,1,1,11
black,1,1,10
golden,1,1,10
lose,1,1,4
jim,1,1,4
african,1,1,3
everybodi,1,1,3
sound,1,1,3
professor,1,1,3
contest,1,1,3
nine,1,1,2
depress,1,1,2
partli,1,1,2
secret,1,1,2
complaint,1,1,2
convict,1,1,2
essenti,1,1,2
white,1,1,2
creation,1,1,2
alert,1,1,2
fire,1,1,2
room,1,1,2
digit,1,1,2
sometim,1,1,2
tend,1,1,2
alon,1,1,1
client,1,1,1
team,1,1,1
admiss,1,1,1
whatev,1,1,1
unknown,1,1,1
contrast,1,1,1
portfolio,1,1,1
invit,1,1,1
understood,1,1,1
progress,1,1,1
deserv,1,1,1
handl,1,1,1
bodi,1,1,1
twin,1,1,1
arrang,1,1,1
twoday,1,1,1
unnam,1,1,1
carol,1,1,1
instead,1,1,1
renew,1,1,1
statu,1,1,1
convinc,1,1,1
villag,1,1,1
delay,1,1,1
websit,1,1,1
rent,1,1,1
sink,1,1,1
descript,1,1,1
mission,1,1,1
wast,1,1,1
routin,1,1,1
indefinit,1,1,1
headquart,1,1,1
sky,1,1,0
goal,1,1,0
burst,1,1,0
margin,1,1,0
stanley,1,1,0
survey,1,1,0
stick,1,1,0
type,1,1,0
twothird,1,1,0
nato,1,1,0
presidenti,1,1,0
reward,1,1,0
membership,1,1,0
difficulti,1,1,0
alarm,1,1,0
rung,1,1,0
cautiou,1,1,0
background,1,1,0
unnecessari,1,1,0
soft,1,1,0
provinc,1,1,0
drag,1,1,0
provis,1,1,0
frontlin,1,1,0
jurisdict,1,1,0
repeatedli,1,1,0
appropri,1,1,0
toler,1,1,0
halt,1,1,0
mandatori,1,1,0
sand,1,1,0
upper,1,1,0
suffici,1,1,0
wood,1,1,0
broken,1,1,0
consumpt,1,1,0
leapfrog,1,1,0
tone,1,1,0
simpl,1,1,0
circumst,1,1,0
vision,1,1,0
broad,1,1,0
rhetor,1,1,0
belief,1,1,0
prioriti,1,1,0
clamp,1,1,0
flag,1,1,0
intensifi,1,1,0
merchant,1,1,0
underli,1,1,0
core,1,1,0
swell,1,1,0
subscrib,1,1,0
interven,1,1,0
correct,1,1,0
industrialis,1,1,0
grab,1,1,0
sought,1,1,0
fishermen,1,1,0
overturn,1,1,0
contend,1,1,0
optimist,1,1,0
reluct,1,1,0
stuck,1,1,0
effici,1,1,0
confus,1,1,0
afraid,1,1,0
benchmark,1,1,0
hike,1,1,0
fallen,1,1,0
flexibl,1,1,0
manchest,1,1,0
adequ,1,1,0
space,1,1,0
function,1,1,0
slash,1,1,0
abandon,1,1,0
edward,1,0,22
ice,1,0,10
studio,1,0,10
broadcast,1,0,7
pursu,1,0,7
etern,1,0,6
bond,1,0,6
scott,1,0,5
ocean,1,0,5
agent,1,0,5
pictur,1,0,5
arriv,1,0,4
pull,1,0,4
island,1,0,4
morri,1,0,4
fellow,1,0,4
hidden,1,0,3
chri,1,0,3
joshua,1,0,3
alex,1,0,3
assum,1,0,3
escap,1,0,3
worldwid,1,0,3
fame,1,0,3
philip,1,0,3
schedul,1,0,3
profession,1,0,3
reid,1,0,2
portray,1,0,2
graduat,1,0,2
gmt,1,0,2
kick,1,0,2
eleven,1,0,2
fiction,1,0,2
river,1,0,2
medium,1,0,2
van,1,0,2
hotel,1,0,2
player,1,0,2
destroy,1,0,2
request,1,0,1
darl,1,0,1
fought,1,0,1
inject,1,0,1
conclud,1,0,1
plea,1,0,1
revers,1,0,1
reliant,1,0,1
prospect,1,0,1
smooth,1,0,1
wall,1,0,1
journal,1,0,1
havana,1,0,1
malibu,1,0,1
verdict,1,0,1
shelv,1,0,1
bell,1,0,1
midday,1,0,1
lifeblood,1,0,1
capabl,1,0,1
triniti,1,0,1
multibillion,1,0,1
gianni,1,0,1
troubl,1,0,1
true,1,0,1
reli,1,0,1
chapter,1,0,1
wrangl,1,0,1
embarrass,1,0,1
tshirt,1,0,1
rupert,1,0,1
huckabe,1,0,1
sydney,1,0,1
retain,1,0,1
defi,1,0,1
underground,1,0,1
reloc,1,0,1
heel,1,0,1
followup,1,0,1
narrowli,1,0,1
implic,1,0,1
appetit,1,0,1
downward,1,0,1
hood,1,0,1
harder,1,0,1
steer,1,0,1
trailblaz,1,0,1
grappl,1,0,1
healthcar,1,0,1
reput,1,0,1
wellknown,1,0,1
shut,1,0,1
elsewher,1,0,1
dealer,1,0,1
illfat,1,0,1
clue,1,0,1
solut,1,0,1
jay,1,0,1
fathom,1,0,1
threw,1,0,1
fool,1,0,1
hammer,1,0,1
clement,1,0,1
solid,1,0,1
calendar,1,0,1
rental,1,0,1
sharp,1,0,1
macfarlan,1,0,1
costello,1,0,1
lifetim,1,0,1
charm,1,0,1
prejudic,1,0,1
program,1,0,1
footag,1,0,1
slice,1,0,1
extent,1,0,1
wholesal,1,0,1
blind,1,0,1
anyway,1,0,1
berni,1,0,0
juror,1,0,0
distanc,1,0,0
testifi,1,0,0
mastermind,1,0,0
affabl,1,0,0
pe,1,0,0
ceo,1,0,0
firmli,1,0,0
innoc,1,0,0
plummet,1,0,0
plung,1,0,0
steep,1,0,0
brett,1,0,0
godfrey,1,0,0
branson,1,0,0
fend,1,0,0
passeng,1,0,0
approxim,1,0,0
slack,1,0,0
carrier,1,0,0
qanta,1,0,0
sydneylist,1,0,0
snowfal,1,0,0
heat,1,0,0
shiver,1,0,0
unseason,1,0,0
fiveweek,1,0,0
overnight,1,0,0
fur,1,0,0
obvious,1,0,0
fathi,1,0,0
bin,1,0,0
shatwan,1,0,0
libya,1,0,0
excess,1,0,0
hemispher,1,0,0
eas,1,0,0
korean,1,0,0
avert,1,0,0
liquid,1,0,0
conglomer,1,0,0
stabilis,1,0,0
shockwav,1,0,0
redempt,1,0,0
laah,1,0,0
chonggyu,1,0,0
convert,1,0,0
sejong,1,0,0
exce,1,0,0
mitsui,1,0,0
latter,1,0,0
exit,1,0,0
profil,1,0,0
fourthlargest,1,0,0
thirdlargest,1,0,0
secondlargest,1,0,0
absorb,1,0,0
ufjmtfg,1,0,0
largestev,1,0,0
deepen,1,0,0
daiwa,1,0,0
fullblown,1,0,0
malpractic,1,0,0
aig,1,0,0
mclennan,1,0,0
eliot,1,0,0
feloni,1,0,0
rig,1,0,0
fix,1,0,0
shrank,1,0,0
upset,1,0,0
confound,1,0,0
zero,1,0,0
standstil,1,0,0
impend,1,0,0
destati,1,0,0
outweigh,1,0,0
relentless,1,0,0
ecb,1,0,0
mandat,1,0,0
slight,1,0,0
downturn,1,0,0
woolwich,1,0,0
pricewaterhousecoop,1,0,0
pwc,1,0,0
overvalu,1,0,0
homeown,1,0,0
amidst,1,0,0
naoki,1,0,0
kamiyama,1,0,0
pessim,1,0,0
quarterli,1,0,0
tankan,1,0,0
trader,1,0,0
trough,1,0,0
outperform,1,0,0
norwich,1,0,0
axa,1,0,0
compens,1,0,0
payout,1,0,0
float,1,0,0
ricard,1,0,0
diageo,1,0,0
capitalis,1,0,0
glenmorangi,1,0,0
lvmh,1,0,0
chiva,1,0,0
regal,1,0,0
scotch,1,0,0
jacob,1,0,0
creek,1,0,0
courvoisi,1,0,0
brandi,1,0,0
stolichnaya,1,0,0
vodka,1,0,0
ballantin,1,0,0
snack,1,0,0
dunkin,1,0,0
donut,1,0,0
baskinrobbin,1,0,0
cream,1,0,0
wsj,1,0,0
ripe,1,0,0
problemat,1,0,0
fastfood,1,0,0
oust,1,0,0
longserv,1,0,0
leonid,1,0,0
atlant,1,0,0
nonnato,1,0,0
moscowback,1,0,0
yanukovych,1,0,0
yulia,1,0,0
tymoshenko,1,0,0
spotlight,1,0,0
sooth,1,0,0
fray,1,0,0
nerv,1,0,0
shape,1,0,0
ukrainian,1,0,0
steel,1,0,0
krivorizhst,1,0,0
pinchuk,1,0,0
soninlaw,1,0,0
formerpresid,1,0,0
rinat,1,0,0
akhmetov,1,0,0
viceprim,1,0,0
oleg,1,0,0
backlash,1,0,0
topic,1,0,0
honest,1,0,0
sympathet,1,0,0
ear,1,0,0
reiter,1,0,0
claud,1,0,0
veronrevil,1,0,0
mandelson,1,0,0
border,1,0,0
pragmat,1,0,0
shop,1,0,0
justifi,1,0,0
voluntarili,1,0,0
fourthquart,1,0,0
vioxxrel,1,0,0
user,1,0,0
stomach,1,0,0
bextra,1,0,0
reintroduct,1,0,0
altern,1,0,0
cardiovascular,1,0,0
senat,1,0,0
medicin,1,0,0
editori,1,0,0
ballot,1,0,0
pearson,1,0,0
voluntari,1,0,0
stood,1,0,0
torn,1,0,0
teeth,1,0,0
jeremi,1,0,0
dear,1,0,0
barri,1,0,0
disregard,1,0,0
broadsheet,1,0,0
hedg,1,0,0
larger,1,0,0
continent,1,0,0
frederick,1,0,0
conrad,1,0,0
holling,1,0,0
mull,1,0,0
littlewood,1,0,0
maclennan,1,0,0
machineri,1,0,0
alik,1,0,0
mirror,1,0,0
mail,1,0,0
cigarett,1,0,0
surrend,1,0,0
tougher,1,0,0
counteract,1,0,0
mafia,1,0,0
infiltr,1,0,0
thermal,1,0,0
partial,1,0,0
rupeesbn,1,0,0
softwar,1,0,0
tata,1,0,0
oversubscrib,1,0,0
suha,1,0,0
naik,1,0,0
ing,1,0,0
energystarv,1,0,0
fiatgm,1,0,0
midnight,1,0,0
unprofit,1,0,0
deadlock,1,0,0
payoff,1,0,0
extric,1,0,0
void,1,0,0
via,1,0,0
capitalrais,1,0,0
outright,1,0,0
agnelli,1,0,0
godfath,1,0,0
pile,1,0,0
saab,1,0,0
juchemich,1,0,0
auto,1,0,0
sal,1,0,0
oppenheim,1,0,0
aburiz,1,0,0
bisni,1,0,0
previouslypledg,1,0,0
aceh,1,0,0
nevertheless,1,0,0
mahendra,1,0,0
afp,1,0,0
temporarili,1,0,0
seychel,1,0,0
alwi,1,0,0
shihab,1,0,0
ap,1,0,0
allay,1,0,0
secondfastest,1,0,0
slowerthanexpect,1,0,0
tradedriven,1,0,0
gross,1,0,0
lian,1,0,0
chia,1,0,0
liang,1,0,0
jp,1,0,0
weigh,1,0,0
bounc,1,0,0
deadli,1,0,0
sar,1,0,0
viru,1,0,0
brendan,1,0,0
barber,1,0,0
reorganis,1,0,0
unpaid,1,0,0
dispos,1,0,0
meaningless,1,0,0
letitia,1,0,0
chunk,1,0,0
bail,1,0,0
platon,1,0,0
fertilis,1,0,0
absurd,1,0,0
contradict,1,0,0
testimoni,1,0,0
motiv,1,0,0
vladimir,1,0,0
putin,1,0,0
superrich,1,0,0
oligarch,1,0,0
funnel,1,0,0
reelect,1,0,0
mathieu,1,0,0
wrongdo,1,0,0
californiabas,1,0,0
falsifi,1,0,0
antibriberi,1,0,0
slogan,1,0,0
quadrupl,1,0,0
lam,1,0,0
robot,1,0,0
nullifi,1,0,0
transfer,1,0,0
domicil,1,0,0
delawar,1,0,0
obey,1,0,0
builder,1,0,0
compli,1,0,0
shutdown,1,0,0
abid,1,0,0
chronic,1,0,0
shortag,1,0,0
factori,1,0,0
parttim,1,0,0
megawatt,1,0,0
jinshajiang,1,0,0
yangtz,1,0,0
downstream,1,0,0
mervyn,1,0,0
bridgewel,1,0,0
achil,1,0,0
bradi,1,0,0
northeast,1,0,0
eventu,1,0,0
blast,1,0,0
yearago,1,0,0
milit,1,0,0
riyadh,1,0,0
saudi,1,0,0
arabia,1,0,0
briefli,1,0,0
panick,1,0,0
evapor,1,0,0
deborah,1,0,0
sg,1,0,0
teeter,1,0,0
brink,1,0,0
similars,1,0,0
hesit,1,0,0
keen,1,0,0
heizo,1,0,0
takenaka,1,0,0
sanguin,1,0,0
patchier,1,0,0
sheard,1,0,0
lehman,1,0,0
prestig,1,0,0
laggard,1,0,0
equal,1,0,0
urgenc,1,0,0
dutch,1,0,0
incept,1,0,0
synonym,1,0,0
quo,1,0,0
wane,1,0,0
lag,1,0,0
volunt,1,0,0
ink,1,0,0
scarc,1,0,0
dri,1,0,0
implod,1,0,0
knowledgebas,1,0,0
compel,1,0,0
hofheinz,1,0,0
habit,1,0,0
haunt,1,0,0
inclus,1,0,0
prioritis,1,0,0
emphasi,1,0,0
shame,1,0,0
necessarili,1,0,0
anymor,1,0,0
emul,1,0,0
backseat,1,0,0
sail,1,0,0
unchart,1,0,0
sacrif,1,0,0
altar,1,0,0
palmer,1,0,0
thinktank,1,0,0
workforc,1,0,0
manuel,1,0,0
fiveyear,1,0,0
chees,1,0,0
rapidli,1,0,0
expand,1,0,0
spur,1,0,0
astronom,1,0,0
dollardenomin,1,0,0
widen,1,0,0
mariepierr,1,0,0
ripert,1,0,0
ixi,1,0,0
highway,1,0,0
traffic,1,0,0
pickup,1,0,0
malfunct,1,0,0
avalanch,1,0,0
kodiak,1,0,0
silverad,1,0,0
suburban,1,0,0
savana,1,0,0
sierra,1,0,0
yukon,1,0,0
fragment,1,0,0
hydraul,1,0,0
leak,1,0,0
cadillac,1,0,0
xlr,1,0,0
coup,1,0,0
srx,1,0,0
grand,1,0,0
prix,1,0,0
pedal,1,0,0
buick,1,0,0
ranier,1,0,0
envoy,1,0,0
isuzu,1,0,0
ascend,1,0,0
windshield,1,0,0
injuri,1,0,0
drugmak,1,0,0
bignam,1,0,0
pharmaceut,1,0,0
annouc,1,0,0
antidepress,1,0,0
prozac,1,0,0
eli,1,0,0
lilli,1,0,0
hypertens,1,0,0
norvasc,1,0,0
apac,1,0,0
rd,1,0,0
decreas,1,0,0
patent,1,0,0
stapl,1,0,0
ingredi,1,0,0
fourmonth,1,0,0
sweet,1,0,0
gallon,1,0,0
refin,1,0,0
unabl,1,0,0
citigroup,1,0,0
kyle,1,0,0
sillier,1,0,0
scrambl,1,0,0
gulf,1,0,0
coast,1,0,0
mechan,1,0,0
bp,1,0,0
cartel,1,0,0
colder,1,0,0
instabl,1,0,0
subscript,1,0,0
takeup,1,0,0
fullyear,1,0,0
kingdom,1,0,0
thierri,1,0,0
breton,1,0,0
likeforlik,1,0,0
directori,1,0,0
pagesjaun,1,0,0
unwilling,1,0,0
autom,1,0,0
amplifi,1,0,0
jumpi,1,0,0
versu,1,0,0
managementchicago,1,0,0
yesterday,1,0,0
mackel,1,0,0
gerhard,1,0,0
silvio,1,0,0
colombian,1,0,0
earmark,1,0,0
expenditur,1,0,0
earthquak,1,0,0
claimant,1,0,0
lloyd,1,0,0
marin,1,0,0
hanov,1,0,0
fifthlargest,1,0,0
tsunamirel,1,0,0
casualti,1,0,0
unclear,1,0,0
serg,1,0,0
troeber,1,0,0
complic,1,0,0
allianz,1,0,0
tidal,1,0,0
zurich,1,0,0
catastroph,1,0,0
fraction,1,0,0
malaysia,1,0,0
prudenti,1,0,0
gelb,1,0,0
minim,1,0,0
bermudabas,1,0,0
newsom,1,0,0
ag,1,0,0
co,1,0,0
usbas,1,0,0
incalcul,1,0,0
nameless,1,0,0
wipe,1,0,0
livelihood,1,0,0
jan,1,0,0
egeland,1,0,0
humanitarian,1,0,0
possess,1,0,0
smoker,1,0,0
setback,1,0,0
anthoni,1,0,0
sebok,1,0,0
brooklyn,1,0,0
advert,1,0,0
racket,1,0,0
plaza,1,0,0
unifi,1,0,0
modifi,1,0,0
ohlemey,1,0,0
dishonest,1,0,0
grown,1,0,0
dramat,1,0,0
inventori,1,0,0
takashi,1,0,0
yamanaka,1,0,0
downgrad,1,0,0
stagnat,1,0,0
resili,1,0,0
jobless,1,0,0
prey,1,0,0
speedi,1,0,0
munichbas,1,0,0
dz,1,0,0
bernd,1,0,0
weidenstein,1,0,0
wolfgang,1,0,0
dip,1,0,0
mild,1,0,0
retreat,1,0,0
upsw,1,0,0
elus,1,0,0
hanswern,1,0,0
sinn,1,0,0
sank,1,0,0
fare,1,0,0
notch,1,0,0
gasguzzl,1,0,0
cobalt,1,0,0
lanev,1,0,0
ninth,1,0,0
firstquart,1,0,0
chrysler,1,0,0
detroit,1,0,0
automak,1,0,0
boast,1,0,0
nibbl,1,0,0
suzuki,1,0,0
snap,1,0,0
tripl,1,0,0
hyundai,1,0,0
gainer,1,0,0
redesign,1,0,0
avalon,1,0,0
gaselectr,1,0,0
priu,1,0,0
hybrid,1,0,0
midsiz,1,0,0
petrolpric,1,0,0
consciou,1,0,0
catch,1,0,0
proceed,1,0,0
stelio,1,0,0
lowcost,1,0,0
disclaim,1,0,0
cafe,1,0,0
interc,1,0,0
sim,1,0,0
airtim,1,0,0
tmobil,1,0,0
handset,1,0,0
prosper,1,0,0
reap,1,0,0
blight,1,0,0
uncertainti,1,0,0
impli,1,0,0
jolt,1,0,0
hemington,1,0,0
curb,1,0,0
wellflag,1,0,0
illtim,1,0,0
spare,1,0,0
ian,1,0,0
unreason,1,0,0
likelihood,1,0,0
postelect,1,0,0
blyth,1,0,0
commonwealth,1,0,0
leapt,1,0,0
breakneck,1,0,0
spurt,1,0,0
sore,1,0,0
sixyear,1,0,0
relax,1,0,0
taxat,1,0,0
xuren,1,0,0
tighten,1,0,0
healthi,1,0,0
rebat,1,0,0
lawmak,1,0,0
congressionallymand,1,0,0
uschina,1,0,0
labourintens,1,0,0
hitech,1,0,0
embattl,1,0,0
offset,1,0,0
gibraltarbas,1,0,0
web,1,0,0
offshor,1,0,0
liabil,1,0,0
bailiff,1,0,0
personnel,1,0,0
osborn,1,0,0
earnest,1,0,0
virtual,1,0,0
emmanuel,1,0,0
shearman,1,0,0
accru,1,0,0
stockholm,1,0,0
ratifi,1,0,0
signatur,1,0,0
ratif,1,0,0
bound,1,0,0
shell,1,0,0
downfal,1,0,0
vicechairman,1,0,0
soccerex,1,0,0
dubai,1,0,0
ofex,1,0,0
seater,1,0,0
emir,1,0,0
matchday,1,0,0
moneyearn,1,0,0
thorough,1,0,0
constantli,1,0,0
quantiti,1,0,0
sponsor,1,0,0
highburi,1,0,0
stream,1,0,0
pencepershar,1,0,0
parisbas,1,0,0
liff,1,0,0
werner,1,0,0
seifert,1,0,0
significantlyimprov,1,0,0
meantim,1,0,0
amsterdam,1,0,0
sole,1,0,0
assur,1,0,0
ft,1,0,0
offens,1,0,0
helm,1,0,0
luxembourgbas,1,0,0
tick,1,0,0
washingtonbas,1,0,0
persuas,1,0,0
dose,1,0,0
standpoint,1,0,0
fiscal,1,0,0
gratuit,1,0,0
wreck,1,0,0
abroad,1,0,0
bode,1,0,0
creep,1,0,0
interestsensit,1,0,0
automobil,1,0,0
durabl,1,0,0
farmer,1,0,0
capitol,1,0,0
outcri,1,0,0
wise,1,0,0
neutral,1,0,0
captur,1,0,0
remedi,1,0,0
feasibl,1,0,0
elimin,1,0,0
toothless,1,0,0
rash,1,0,0
hardli,1,0,0
explor,1,0,0
cleanup,1,0,0
fantasi,1,0,0
homeland,1,0,0
inevit,1,0,0
brute,1,0,0
illserv,1,0,0
indig,1,0,0
lion,1,0,0
enact,1,0,0
rearrang,1,0,0
harmless,1,0,0
allegi,1,0,0
fixat,1,0,0
infrastructur,1,0,0
workabl,1,0,0
simplifi,1,0,0
restor,1,0,0
erod,1,0,0
dispassion,1,0,0
reevalu,1,0,0
unrel,1,0,0
afghanistan,1,0,0
certain,1,0,0
disquiet,1,0,0
frankfurt,1,0,0
deriv,1,0,0
monopoli,1,0,0
sweeten,1,0,0
blair,0,56,0
tori,0,52,0
mp,0,51,1
howard,0,48,1
lib,0,25,0
dem,0,25,0
hunt,0,25,0
inquiri,0,22,0
children,0,21,10
toni,0,19,2
speech,0,19,1
answer,0,18,2
liber,0,18,0
war,0,17,10
wale,0,17,1
parliament,0,17,0
charl,0,16,8
britain,0,16,5
marri,0,16,2
immigr,0,15,1
voter,0,15,0
ukip,0,14,0
marriag,0,13,0
scottish,0,12,2
princ,0,12,1
cabinet,0,12,0
insist,0,12,0
straw,0,12,0
chairman,0,11,1
cell,0,11,0
kennedi,0,11,0
offenc,0,11,0
polic,0,10,7
pupil,0,10,3
dog,0,10,0
abl,0,9,5
tour,0,9,5
aim,0,9,4
men,0,9,2
hospit,0,9,1
westminst,0,9,0
shadow,0,9,0
saye,0,9,0
mcconnel,0,9,0
intent,0,9,0
tp,0,9,0
advic,0,9,0
parliamentari,0,9,0
woolf,0,9,0
pound,0,8,3
chamber,0,8,2
suspect,0,8,1
parker,0,8,1
protest,0,8,1
select,0,8,1
seat,0,8,1
paper,0,8,0
bowl,0,8,0
jamieson,0,8,0
opinion,0,8,0
nh,0,8,0
gibbon,0,8,0
hutt,0,8,0
ict,0,8,0
bing,0,8,0
embargo,0,8,0
robert,0,7,8
front,0,7,4
prais,0,7,4
describ,0,7,4
jack,0,7,2
cours,0,7,1
appoint,0,7,1
visit,0,7,1
leadership,0,7,0
goldsmith,0,7,0
csa,0,7,0
vulner,0,7,0
drunk,0,7,0
learn,0,6,3
introduc,0,6,2
suicid,0,6,2
treatment,0,6,1
khan,0,6,1
mental,0,6,1
luci,0,6,1
mongrel,0,6,0
hain,0,6,0
appli,0,6,0
gordon,0,6,0
breach,0,6,0
constitu,0,6,0
intend,0,6,0
assembl,0,6,0
summari,0,6,0
salari,0,6,0
divid,0,6,0
ethnic,0,6,0
custodi,0,6,0
peston,0,6,0
euthanasia,0,6,0
kinnock,0,6,0
yearold,0,5,11
alan,0,5,6
squar,0,5,6
anyth,0,5,5
wife,0,5,4
sir,0,5,4
written,0,5,4
queen,0,5,3
arrest,0,5,3
event,0,5,3
extend,0,5,2
engag,0,5,2
will,0,5,2
finish,0,5,1
moral,0,5,1
intellig,0,5,1
royal,0,5,1
coupl,0,5,1
husband,0,5,1
felt,0,5,1
defin,0,5,1
rattl,0,5,0
bit,0,5,0
down,0,5,0
oppos,0,5,0
detent,0,5,0
oaten,0,5,0
wed,0,5,0
elector,0,5,0
truant,0,5,0
medic,0,5,0
sum,0,5,0
joint,0,5,0
nuclear,0,5,0
immunis,0,5,0
text,0,5,0
amnesti,0,5,0
failur,0,5,0
blunkett,0,5,0
middl,0,5,0
cochairman,0,5,0
sham,0,5,0
bradshaw,0,5,0
supercasino,0,5,0
die,0,4,19
univers,0,4,14
mind,0,4,9
host,0,4,8
becam,0,4,7
father,0,4,7
jone,0,4,6
friend,0,4,6
mother,0,4,5
anim,0,4,5
hard,0,4,4
son,0,4,4
happi,0,4,3
experi,0,4,3
foundat,0,4,3
field,0,4,3
everyon,0,4,2
refer,0,4,2
contain,0,4,2
wide,0,4,2
languag,0,4,2
foot,0,4,2
april,0,4,1
session,0,4,1
biographi,0,4,1
younger,0,4,1
remark,0,4,1
gift,0,4,1
respond,0,4,1
ashcroft,0,4,1
crucial,0,4,1
certainli,0,4,1
messag,0,4,1
wild,0,4,1
environ,0,4,0
margaret,0,4,0
pm,0,4,0
duti,0,4,0
headlin,0,4,0
quota,0,4,0
milburn,0,4,0
bench,0,4,0
determin,0,4,0
embrac,0,4,0
briton,0,4,0
intercept,0,4,0
introduct,0,4,0
ireland,0,4,0
sectarian,0,4,0
aynsleygreen,0,4,0
afford,0,4,0
vaccin,0,4,0
welcom,0,4,0
extra,0,4,0
draft,0,4,0
cunningham,0,4,0
brien,0,4,0
intervent,0,4,0
insan,0,4,0
empir,0,4,0
croucher,0,4,0
legalis,0,4,0
chair,0,4,0
undermin,0,4,0
animos,0,4,0
rural,0,4,0
adult,0,4,0
cabl,0,4,0
tiananmen,0,4,0
rimmer,0,4,0
audienc,0,3,21
career,0,3,18
great,0,3,9
night,0,3,9
write,0,3,7
form,0,3,6
wonder,0,3,5
walk,0,3,5
tradit,0,3,4
weekend,0,3,4
christian,0,3,4
fli,0,3,3
fortun,0,3,3
christoph,0,3,3
church,0,3,3
wrote,0,3,3
kelli,0,3,3
taylor,0,3,3
read,0,3,3
frank,0,3,3
someon,0,3,2
chanc,0,3,2
pitt,0,3,2
anyon,0,3,2
dinner,0,3,2
earth,0,3,2
diana,0,3,2
serial,0,3,2
mass,0,3,2
seem,0,3,2
daughter,0,3,2
task,0,3,2
advoc,0,3,1
clearli,0,3,1
ring,0,3,1
sensibl,0,3,1
departur,0,3,1
radic,0,3,1
initi,0,3,1
accompani,0,3,1
glasgow,0,3,1
particular,0,3,1
inappropri,0,3,1
occas,0,3,1
scrap,0,3,1
apart,0,3,1
household,0,3,1
anybodi,0,3,1
peac,0,3,1
letter,0,3,1
sex,0,3,1
establish,0,3,1
demonstr,0,3,1
tactic,0,3,0
dixon,0,3,0
ordinari,0,3,0
basic,0,3,0
easter,0,3,0
nobodi,0,3,0
rush,0,3,0
frighten,0,3,0
alzheim,0,3,0
neuron,0,3,0
tissu,0,3,0
deport,0,3,0
scrutini,0,3,0
terrorist,0,3,0
resign,0,3,0
principl,0,3,0
ruth,0,3,0
truanci,0,3,0
bigot,0,3,0
celtic,0,3,0
ranger,0,3,0
violenc,0,3,0
matthew,0,3,0
prof,0,3,0
unison,0,3,0
insul,0,3,0
davey,0,3,0
joseph,0,3,0
kilroysilk,0,3,0
kashmir,0,3,0
pakistan,0,3,0
kashmiri,0,3,0
gavi,0,3,0
bind,0,3,0
confidenti,0,3,0
weapon,0,3,0
fulli,0,3,0
resolut,0,3,0
simpler,0,3,0
faith,0,3,0
frontbench,0,3,0
serialis,0,3,0
helicopt,0,3,0
gateshead,0,3,0
nanni,0,3,0
forgotten,0,3,0
applic,0,3,0
nick,0,3,0
sandra,0,3,0
poster,0,3,0
deepli,0,3,0
document,0,3,0
safeguard,0,3,0
judiciari,0,3,0
concentr,0,3,0
rift,0,3,0
ferri,0,3,0
prohunt,0,3,0
confront,0,3,0
cmf,0,3,0
highland,0,3,0
underag,0,3,0
irrespons,0,3,0
registrar,0,3,0
deer,0,3,0
opik,0,3,0
defra,0,3,0
christma,0,2,20
ceremoni,0,2,13
categori,0,2,13
old,0,2,9
respect,0,2,6
fan,0,2,6
reunit,0,2,6
itv,0,2,5
episod,0,2,5
leicest,0,2,5
lesson,0,2,4
chariti,0,2,4
unveil,0,2,4
harri,0,2,3
pack,0,2,3
lectur,0,2,3
regular,0,2,3
mike,0,2,3
exhibit,0,2,3
adam,0,2,3
mine,0,2,2
entitl,0,2,2
andrew,0,2,2
resist,0,2,2
collin,0,2,2
dub,0,2,2
restrict,0,2,2
aliv,0,2,2
treat,0,2,2
patrol,0,2,2
section,0,2,2
alcohol,0,2,2
bar,0,2,2
resurrect,0,2,2
marshal,0,2,2
africa,0,2,2
speaker,0,2,2
secondari,0,2,2
noon,0,2,2
proof,0,2,1
swap,0,2,1
mood,0,2,1
windsor,0,2,1
castl,0,2,1
wider,0,2,1
equival,0,2,1
twice,0,2,1
skill,0,2,1
script,0,2,1
discount,0,2,1
gate,0,2,1
robin,0,2,1
mate,0,2,1
outrag,0,2,1
passion,0,2,1
advis,0,2,1
trip,0,2,1
address,0,2,1
religion,0,2,1
oliv,0,2,1
bone,0,2,1
johnson,0,2,1
smith,0,2,1
speed,0,2,1
victori,0,2,1
succeed,0,2,1
student,0,2,1
highprofil,0,2,1
organ,0,2,1
quot,0,2,1
recognit,0,2,1
quickli,0,2,1
licenc,0,2,1
certif,0,2,1
suppos,0,2,1
gambl,0,2,1
brighton,0,2,0
antiterror,0,2,0
somewher,0,2,0
sake,0,2,0
pig,0,2,0
judgement,0,2,0
shield,0,2,0
racist,0,2,0
cleaner,0,2,0
disciplin,0,2,0
rid,0,2,0
grandchildren,0,2,0
marr,0,2,0
dissolv,0,2,0
whip,0,2,0
palac,0,2,0
bore,0,2,0
unfulfil,0,2,0
richmond,0,2,0
ffion,0,2,0
speechwrit,0,2,0
cram,0,2,0
branch,0,2,0
thingsit,0,2,0
misjudg,0,2,0
scienc,0,2,0
victim,0,2,0
parkinson,0,2,0
devast,0,2,0
scientist,0,2,0
framework,0,2,0
necessari,0,2,0
detaine,0,2,0
belmarsh,0,2,0
egypt,0,2,0
jordan,0,2,0
discriminatori,0,2,0
wiretap,0,2,0
confin,0,2,0
